Date,Nitrat level
2023-06-27,14.138226556046998
2023-06-28,16.93302720875514
2023-06-29,17.364744259183116
2023-06-30,13.44310205757126
2023-07-01,18.19946538415333
2023-07-02,18.268057668614993
2023-07-03,16.00320709421777
2023-07-04,17.52564374568955
2023-07-05,16.9836456441921
2023-07-06,16.704755575436145
2023-07-07,15.57785133878643
2023-07-08,16.07025962067414
2023-07-09,16.247832042126436
2023-07-10,17.02351415326225
2023-07-11,17.596479785462446
2023-07-12,16.775604009518407
2023-07-13,14.524975243199291
2023-07-14,15.890957228079792
2023-07-15,17.322840918801244
2023-07-16,14.618434130865097
2023-07-17,15.187892731780366
2023-07-18,16.91240769997313
2023-07-19,16.232062342717366
2023-07-20,14.157937441289151
2023-07-21,14.172713456411026
2023-07-22,13.432364588357222
2023-07-23,13.557086756774384
2023-07-24,15.054707364580391
2023-07-25,16.629083986807224
2023-07-26,16.780412051601104
2023-07-27,16.204580553922415
2023-07-28,16.423184182530665
2023-07-29,13.909204881236487
2023-07-30,15.40631314080699
2023-07-31,15.064510910317043
2023-08-01,15.459005766521386
2023-08-02,16.745090794235953
2023-08-03,17.009694780351865
2023-08-04,14.189529733242662
2023-08-05,16.704457098459383
2023-08-06,15.13898457019408
2023-08-07,14.163022183624976
2023-08-08,13.897461844509543
2023-08-09,13.994088210702623
2023-08-10,17.569559259252436
2023-08-11,18.272442123548075
2023-08-12,16.477873457234004
2023-08-13,13.685463169038107
2023-08-14,14.638066182352507
2023-08-15,15.120659128101439
2023-08-16,12.98827590316129
2023-08-17,16.608590425446838
2023-08-18,17.4682742605175
2023-08-19,14.345567682983473
2023-08-20,16.03595191765939
2023-08-21,15.872657709414993
2023-08-22,15.703446814906998
2023-08-23,17.879667742203964
2023-08-24,14.71157098067814
2023-08-25,17.42385730017975
2023-08-26,17.741627873011556
2023-08-27,15.985110310816596
2023-08-28,17.820752338270992
2023-08-29,17.42984217806173
2023-08-30,17.299212117130836
2023-08-31,15.041100341545041
2023-09-01,15.342269766724002
2023-09-02,15.727025431137527
2023-09-03,14.49368760035427
2023-09-04,14.780719926153155
2023-09-05,15.836494268591878
2023-09-06,16.207699535085485
2023-09-07,15.552933716606002
2023-09-08,15.108952699796673
2023-09-09,16.18554897737091
2023-09-10,15.397654666677587
2023-09-11,15.238051499549174
2023-09-12,14.925690088148913
2023-09-13,17.70492657433705
2023-09-14,16.190375400634657
2023-09-15,20.603411805571994
2023-09-16,16.114127029143035
2023-09-17,17.142009841696982
2023-09-18,16.698107405936234
2023-09-19,15.255155899040572
2023-09-20,16.6674736668729
2023-09-21,16.053663899693
2023-09-22,15.00168164152525
2023-09-23,14.541080415266904
2023-09-24,17.02284677763534
2023-09-25,14.204949030603649
